setid,"Temperature, K",Mole fraction of water,Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qSMRI,298.15,0.1068,0.4124,101,1032.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.1068,0.5914,101,980.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.1967,0.7052,101,894.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.2523,0.463,101,998.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.3044,0.2002,101,1067.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.3101,0.2242,101,1061.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.4047,0.2995,101,1032.6,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.4053,0.4916,101,936.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.6021,0.2489,101,1014.17,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.6879,0.2635,101,959.83,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.7408,0.1179,101,1050,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,298.15,0.8465,0.1044,101,1010.34,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.1068,0.4124,101,1022.6,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.2523,0.463,101,988.6,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.3044,0.2002,101,1057.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.3101,0.2242,101,1052.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.4047,0.2995,101,1022.7,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.4053,0.4916,101,925.1,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.6021,0.2489,101,1003.5,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.6879,0.2635,101,948.17,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.7408,0.1179,101,1039.44,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,313.15,0.8465,0.1044,101,999.95,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.1068,0.4124,101,1012.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.3044,0.2002,101,1048.3,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.3101,0.2242,101,1042.9,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.4047,0.2995,101,1012.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.6879,0.2635,101,936.13,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.7408,0.1179,101,1028.63,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,328.15,0.8465,0.1044,101,989.08,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.1068,0.4124,101,1003.4,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.3044,0.2002,101,1039,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.3101,0.2242,101,1033.5,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.4047,0.2995,101,1002.8,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.6879,0.2635,101,923.67,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.7408,0.1179,101,1017.58,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
qSMRI,343.15,0.8465,0.1044,101,977.74,Quijada et al. (2012),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate
