setid,"Temperature, K","Pressure, kPa",Mole fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XDOPz,298.15,100,0.496,900.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,303.15,100,0.496,897.6,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,308.15,100,0.496,894.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,313.15,100,0.496,891.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,318.15,100,0.496,888.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,323.15,100,0.496,885.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,328.15,100,0.496,882.7,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,333.15,100,0.496,879.8,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,338.15,100,0.496,876.8,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,343.15,100,0.496,873.8,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,348.15,100,0.496,870.9,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,353.15,100,0.496,867.9,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,358.15,100,0.496,865,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
XDOPz,363.15,100,0.496,862,Neves et al. (2011),Density,Liquid,AADYJk,O,water,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
