setid,"Temperature, K",Mole fraction of N-methyl-N-(2-hydroxyethyl)morpholinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KmWve,298.15,0.023,101,1078.7,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.038,101,1121,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.051,101,1150.9,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.075,101,1197.8,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.097,101,1232,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.124,101,1264.8,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.157,101,1297.5,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.197,101,1328.8,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,298.15,0.227,101,1345.7,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.023,101,1076.7,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.038,101,1118.8,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.051,101,1148.6,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.075,101,1195.3,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.097,101,1229.3,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.124,101,1262,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.157,101,1294.6,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
KmWve,303.15,0.197,101,1325.9,Krolikowska et al. (2019a),Density,Liquid,AArZic,C[N+]1(CCO)CCOCC1.[Br-],N-methyl-N-(2-hydroxyethyl)morpholinium bromide,AADYJk,O,water,,,
