setid,"MolaLity of L-leucine, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaRity of tetradecyltrimethylammonium bromide, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zZzzr,0,101,298.15,0.1,998.004,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.011792,101,298.15,0.1,998.27,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.015338,101,298.15,0.1,998.362,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.020513,101,298.15,0.1,998.499,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.025111,101,298.15,0.1,998.603,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.029729,101,298.15,0.1,998.707,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.035052,101,298.15,0.1,998.83,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.041323,101,298.15,0.1,998.979,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.047543,101,298.15,0.1,999.11,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
zZzzr,0.049946,101,298.15,0.1,999.179,Talele and Kishore (2014),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water
