setid,"Temperature, K","MolaLity of tetraphenylphosphorane bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BXfPs,293.15,0,101,1100.22,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.02324,101,1102.4,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.03289,101,1103.3,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.04158,101,1104.11,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.05367,101,1105.24,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.06549,101,1106.34,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.08463,101,1108.14,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.1076,101,1110.28,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.131,101,1112.48,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.1536,101,1114.59,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.1761,101,1117.03,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,293.15,0.2019,101,1119.18,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0,101,1095.19,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.02324,101,1097.39,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.03289,101,1098.3,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.04158,101,1099.11,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.05367,101,1100.24,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.06549,101,1101.36,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
BXfPs,298.15,0.08463,101,1103.16,Warminska and Grzybkowski (2010),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
