setid,"Temperature, K","MolaLity of D-sucrose, mol/kg","Solvent: MolaLity of methyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QIfSC,293.15,0,0,101.3,998.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0,0.019,101.3,999.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0,0.04,101.3,1000.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0,0.059,101.3,1002.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0,0.08,101.3,1003.4,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0199,0,101.3,1000.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0199,0.019,101.3,1002.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0199,0.04,101.3,1002.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0199,0.059,101.3,1005.2,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0199,0.08,101.3,1006,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0399,0,101.3,1003.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0399,0.019,101.3,1004.9,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0399,0.04,101.3,1005.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0399,0.059,101.3,1007.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0399,0.08,101.3,1008.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0599,0,101.3,1006.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0599,0.019,101.3,1007.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0599,0.04,101.3,1008,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0599,0.059,101.3,1010.3,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0599,0.08,101.3,1011.1,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0799,0.019,101.3,1010,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0799,0.04,101.3,1010.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0799,0.059,101.3,1012.7,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.0799,0.08,101.3,1013.5,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
QIfSC,293.15,0.08,0,101.3,1008.6,Sharma et al. (2022b),Density,Liquid,ABNqYl,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,D-sucrose,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water
