setid,Solvent: Weight fraction of tetrabutylphosphonium tetrafluoroborate,"MolaLity of L-valine, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mPTra,0.001,0.1,100,298.15,997.3,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.001,0.159,100,298.15,997.6,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.001,0.201,100,298.15,997.9,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.001,0.235,100,298.15,998.2,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.001,0.266,100,298.15,998.6,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.001,0.293,100,298.15,999,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.1,100,298.15,998.7,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.158,100,298.15,998.9,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.201,100,298.15,999.2,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.235,100,298.15,999.5,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.266,100,298.15,999.8,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.003,0.293,100,298.15,1000.2,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.1,100,298.15,1000.1,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.158,100,298.15,1000.2,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.2,100,298.15,1000.4,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.235,100,298.15,1000.7,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.266,100,298.15,1001,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
mPTra,0.005,0.293,100,298.15,1001.4,Roy et al. (2013c),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
