setid,Weight fraction of 1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Fslnm,0.111,100,298.15,1022.7,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.183,100,298.15,1038.8,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.273,100,298.15,1058.6,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.353,100,298.15,1075.4,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.42,100,298.15,1091,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.491,100,298.15,1105.2,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.561,100,298.15,1122.2,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.628,100,298.15,1136.6,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.717,100,298.15,1153.7,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.773,100,298.15,1167.1,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.836,100,298.15,1181.6,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
Fslnm,0.863,100,298.15,1185.8,Alopina et al. (2016),Density,Liquid,AADYJk,O,water,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
