setid,"Temperature, K","Pressure, kPa",Mole ratio to solvent: decanoic acid,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Rnjkm,293,100,2,934,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,298,100,2,931,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,303,100,2,928,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,308,100,2,924,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,313,100,2,920,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,318,100,2,917,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,323,100,2,914,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,328,100,2,912,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
Rnjkm,333,100,2,910,Adhikari et al. (2019),Density,Liquid,ACBIrh,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],tetraoctylammonium bromide,AAhGHf,CCCCCCCCCC(=O)O,decanoic acid,,,
