setid,Mole fraction of cyclohexane,Mole fraction of ethylbenzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BEnub,0.0051,0.1022,303.15,101.3,11.224,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0059,0.0937,303.15,101.3,11.304,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0064,0.0801,303.15,101.3,11.148,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0071,0.0777,303.15,101.3,11.304,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0077,0.0714,303.15,101.3,11.352,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0083,0.0448,303.15,101.3,11.123,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0088,0.0535,303.15,101.3,11.458,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0098,0.0334,303.15,101.3,11.227,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0101,0.0292,303.15,101.3,11.516,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
BEnub,0.0102,0.049,303.15,101.3,11.402,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
