setid,Mole fraction of trichloromethane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vDZzL,0,101,298.15,1364,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.0857,101,298.15,1368,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.1741,101,298.15,1374,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.2614,101,298.15,1380.8,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.3625,101,298.15,1389.7,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.4608,101,298.15,1401.6,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.5633,101,298.15,1415.1,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.6683,101,298.15,1428.8,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
vDZzL,0.7326,101,298.15,1440.1,Li et al. (2007c),Density,Liquid,AAWxlf,ClC(Cl)Cl,trichloromethane,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
