setid,"Temperature, K","MolaLity of lithium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dQiyK,298.15,7.012,100,1357,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,298.15,12.083,100,1488,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,298.15,16.81,100,1562,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,298.15,20.907,100,1614,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,308.15,7.012,100,1346,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,308.15,12.083,100,1479,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,308.15,16.81,100,1558,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,308.15,20.907,100,1605,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,318.15,7.012,100,1347,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,318.15,12.083,100,1482,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,318.15,16.81,100,1555,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,318.15,20.907,100,1600,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,328.15,7.012,100,1334,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,328.15,12.083,100,1467,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,328.15,16.81,100,1544,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
dQiyK,328.15,20.907,100,1593,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,AADYJk,O,water,,,
