setid,"MolaRity of N-ethyl-2-hydroxyethyl-N,N-dimethylammonium dicyanamide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gLpme,0.1001,101,298.15,1001.6,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAjWvf,CC[N+](C)(C)CCO.N#C[N-]C#N,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium dicyanamide",,,
gLpme,0.2527,101,298.15,1007.9,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAjWvf,CC[N+](C)(C)CCO.N#C[N-]C#N,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium dicyanamide",,,
gLpme,0.4487,101,298.15,1012.8,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AAjWvf,CC[N+](C)(C)CCO.N#C[N-]C#N,"N-ethyl-2-hydroxyethyl-N,N-dimethylammonium dicyanamide",,,
