setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
orDpK,0.05,288.15,0,101,1000.29,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.01991,101,1001.82,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.04058,101,1003,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.05945,101,1004.05,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.12,101,1007.5,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.1406,101,1008.63,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.16,101,1009.74,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,288.15,0.1792,101,1010.86,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0,101,999.58,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.01991,101,1000.8,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.05945,101,1003,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.08037,101,1004.18,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.1005,101,1005.32,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.12,101,1006.44,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
