setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hQDqC,0,101,298.15,799.99,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.0482,101,298.15,844.46,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.101,101,298.15,883.26,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.1967,101,298.15,936.77,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.2977,101,298.15,977.82,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.3558,101,298.15,996.6,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.3994,101,298.15,1009.13,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.449,101,298.15,1021.5,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.4968,101,298.15,1032.57,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.5495,101,298.15,1043.61,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.6009,101,298.15,1052.76,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.7287,101,298.15,1073.23,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.791,101,298.15,1081.1,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,0.899,101,298.15,1094.2,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
hQDqC,1,101,298.15,1105,Zhu et al. (2012b),Density,Liquid,AANtck,CCC(C)=O,butanone,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
