setid,"Temperature, K","MolaLity of tetradecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wTsuE,288.15,0.1046,101,1.224,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.1121,101,1.291,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.1205,101,1.39,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.1532,101,1.744,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.1784,101,2.018,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.201,101,2.244,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.2494,101,2.76,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.3163,101,3.39,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.3507,101,3.719,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.4038,101,4.238,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.5109,101,5.186,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.5969,101,5.893,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.6966,101,6.67,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,288.15,0.7951,101,7.416,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.02004,101,0.211,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.02992,101,0.304,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.04695,101,0.457,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.04813,101,0.466,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.05936,101,0.571,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.07974,101,0.757,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.08999,101,0.847,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.09501,101,0.887,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.1002,101,0.931,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.1121,101,1.039,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
wTsuE,298.15,0.1205,101,1.121,De Lisi et al. (1990b),Density,Liquid,ABMkqO,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],tetradecyltrimethylammonium bromide,AADYJk,O,water,,,
