setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xAwhQ,288.15,0,101,999.134,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.0514,101,1003.51,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.1017,101,1007.71,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.1497,101,1011.65,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.1995,101,1015.69,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.2522,101,1019.87,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.3025,101,1023.82,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.3477,101,1027.3,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.4036,101,1031.57,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.4508,101,1035.08,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,288.15,0.5032,101,1038.95,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0,101,998.245,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.0514,101,1002.58,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.1017,101,1006.74,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.1497,101,1010.64,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
