setid,"Temperature, K","MolaLity of 1-dodecylpyridinium chloride, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wTMIx,298.15,0.007,350,11000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.00999,350,-10000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.01808,350,-27000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.01929,350,-24000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.02297,350,-71000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.03107,350,-116000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.04075,350,-200000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.05401,350,-295000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.07814,350,-483000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.09987,350,-609000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,298.15,0.15216,350,-949000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.007,350,-1000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.00999,350,-9000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.01808,350,-18000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.01929,350,-50000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.02048,350,-61000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.02297,350,-113000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.02558,350,-97000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.03107,350,-223000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.04075,350,-264000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.05401,350,-408000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.07814,350,-617000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.09987,350,-814000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,313.15,0.15216,350,-1.284e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.007,350,-59000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.00999,350,-70000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.01808,350,-129000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.01929,350,-143000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.02048,350,-143000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.02297,350,-199000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.02558,350,-205000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.03107,350,-301000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.04075,350,-404000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.05401,350,-529000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.07814,350,-785000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.09987,350,-1.029e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,328.15,0.15216,350,-1.515e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.007,350,-67000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.00999,350,-89000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.01808,350,-173000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
