setid,"Temperature, K",Mole fraction of n-butylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ruSDD,293.15,0.1,101,1059.97,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.2001,101,1081.27,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.3009,101,1090.62,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.4004,101,1095.83,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.5011,101,1099.15,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.6505,101,1102.02,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.7869,101,1103.62,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,0.9022,101,1104.42,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,293.15,1,101,1104.68,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.1,101,1056.89,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.2001,101,1078.05,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.3009,101,1087.35,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.4004,101,1092.56,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.5011,101,1095.89,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.6505,101,1098.8,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.7869,101,1100.42,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,0.9022,101,1101.25,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,298.15,1,101,1101.52,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.1,101,1053.73,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.2001,101,1074.8,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.3009,101,1084.06,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.4004,101,1089.29,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.5011,101,1092.64,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.6505,101,1095.58,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.7869,101,1097.24,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,0.9022,101,1098.1,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,303.15,1,101,1098.38,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.1,101,1050.52,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.2001,101,1071.53,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.3009,101,1080.78,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.4004,101,1086.02,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.5011,101,1089.4,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.6505,101,1092.38,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.7869,101,1094.08,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,0.9022,101,1094.97,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,308.15,1,101,1095.26,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.1,101,1047.4,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.2001,101,1068.24,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.3009,101,1077.49,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.4004,101,1082.76,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.5011,101,1086.16,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.6505,101,1089.2,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.7869,101,1090.94,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,0.9022,101,1091.86,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
ruSDD,313.15,1,101,1092.17,Xu (2013),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
