setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TOrQb,283.15,100,0,800.36,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.05405,900.86,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.10968,972.36,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.20587,1048.76,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.24647,1072.67,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.29205,1092.87,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.35486,1118.07,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.41675,1135.71,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.53164,1161.78,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.60505,1175.15,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.71231,1189.52,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,0.85177,1205.05,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,100,1,1217.19,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,2500,0,802.51,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
TOrQb,283.15,2500,0.05405,904.54,Matkowska and Hofman (2013),Density,Liquid,AAGIBL,CO,methanol,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
