setid,"MolaLity of N,N,N-trimethyl-1-dodecanaminium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LZhiN,0.009827,101,298,-0.159,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.01001,101,298,-0.164,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.01493,101,298,-0.232,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.0289,101,298,-0.532,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.02991,101,298,-0.548,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.03961,101,298,-0.778,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.04994,101,298,-1.012,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.06303,101,298,-1.323,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.07454,101,298,-1.591,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.09779,101,298,-2.091,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.1,101,298,-2.162,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.1244,101,298,-2.7,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.1445,101,298,-3.136,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.1789,101,298,-3.906,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.199,101,298,-4.32,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.2505,101,298,-5.368,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.2995,101,298,-6.418,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.3243,101,298,-6.906,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.3494,101,298,-7.424,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.3694,101,298,-7.784,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.3938,101,298,-8.252,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.4448,101,298,-9.195,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.4955,101,298,-10.153,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
LZhiN,0.5977,101,298,-11.948,De Lisi et al. (1988a),Density,Liquid,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water,,,
