setid,"Mole fraction of 1,3-dimethylimidazolium acetate","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OYAGg,0,100,293.15,789.5,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.0291,100,293.15,814.7,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.0405,100,293.15,823.6,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.0513,100,293.15,832.1,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.0733,100,293.15,848.3,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.1157,100,293.15,877.3,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.2104,100,293.15,931.8,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.2315,100,293.15,942.4,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.2607,100,293.15,956.1,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.3185,100,293.15,980.5,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.4929,100,293.15,1037.9,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.5903,100,293.15,1062,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.7305,100,293.15,1089.9,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.8659,100,293.15,1111.5,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,0.9306,100,293.15,1120.3,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
OYAGg,1,100,293.15,1128.9,Hou et al. (2014),Density,Liquid,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",AAIsrh,CCO,ethanol,,,
