setid,"Solvent: Mole fraction of 1,2-propanediol","MolaLity of tetraphenylphosphonium iodide, mol/kg","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yUcEj,0,0.025,298.15,786.596,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.0925,0.025,298.15,830.671,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.1773,0.025,298.15,863.66,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.2147,0.025,298.15,877.433,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.2677,0.025,298.15,894.561,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.3155,0.025,298.15,908.824,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.4545,0.025,298.15,943.877,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.5696,0.025,298.15,968.207,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.6648,0.025,298.15,986.133,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.8402,0.025,298.15,1012.83,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,0.8845,0.025,298.15,1018.6,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
yUcEj,1,0.025,298.15,1032.53,Pietrzak and Ludzik (2015),Density,Liquid,Crystal of pure component 3,,12,AAOgbS,CC(O)CO,"1,2-propanediol",AAGIBL,CO,methanol
