setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zzsWw,288.15,0.0553,101,980.97,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.1464,101,1055.5,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.3153,101,1158.5,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.4929,101,1237.5,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.5884,101,1271.6,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.7604,101,1321.9,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.874,101,1349.1,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,288.15,0.9574,101,1367.2,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,298.15,0.0553,101,971.6,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,298.15,0.1464,101,1046.3,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,298.15,0.3153,101,1149.6,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,298.15,0.4929,101,1228.7,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
zzsWw,298.15,0.5884,101,1263,Pal et al. (2010),Density,Liquid,AARRRo,COCC(C)O,1-methoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
