setid,"MolaLity of sodium 2-hydroxysuccinate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VJYou,0.087,101,298.15,1006.46,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.08984,101,298.15,1006.64,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.2036,101,298.15,1018.49,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.2981,101,298.15,1028.4,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.3723,101,298.15,1035.4,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.6015,101,298.15,1056.9,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.7995,101,298.15,1074.5,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,0.9935,101,298.15,1091.3,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,1.1901,101,298.15,1107,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,1.3799,101,298.15,1122.3,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,1.5736,101,298.15,1136.7,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,1.5993,101,298.15,1139.2,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
VJYou,1.8002,101,298.15,1153.2,Apelblat and Manzurola (1990),Density,Liquid,AAiMNw,O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],sodium 2-hydroxysuccinate,AADYJk,O,water,,,
