setid,"MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lDXXw,0,101.3,298.15,944.3,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.004548,101.3,298.15,944.6,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.009331,101.3,298.15,944.9,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.01416,101.3,298.15,945.2,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.01889,101.3,298.15,945.5,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.02351,101.3,298.15,945.8,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.02843,101.3,298.15,946.1,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.03329,101.3,298.15,946.4,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.03813,101.3,298.15,946.6,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.04346,101.3,298.15,946.9,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
lDXXw,0.04852,101.3,298.15,947.2,Wang et al. (2009a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
