setid,"MolaLity of tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
REsXr,0.03106,101,298,2.6,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.09727,101,298,7.9,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.137,101,298,10.8,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.15896,101,298,12.7,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.3257,101,298,24.5,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.60735,101,298,43.2,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.76676,101,298,51.7,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
REsXr,0.93595,101,298,59.4,Barthel et al. (1999a),Density,Liquid,AALIPU,CC(C)=O,acetone,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
