setid,Mole fraction of undecane,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JPKUP,0,298.15,101,862.7,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.0504,298.15,101,1275.6,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.0686,298.15,101,1289.6,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.0751,298.15,101,1234.7,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.2355,298.15,101,751.6,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.2494,298.15,101,861,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.2647,298.15,101,786.1,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.3175,298.15,101,808.4,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
JPKUP,0.6105,298.15,101,762.7,Maduro and Aznar (2008),Density,Liquid mixture 1,Liquid mixture 2,,9,AARlpN,Cc1ccccc1,toluene,AAeDlm,CCCCCCCCCCC,undecane
