setid,"MolaLity of tetrapropylammonium bromide, mol/kg",Solvent: Mole fraction of 2-methylbutan-2-ol,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLRTD,0.0475,0.0052,298.15,995.099,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0493,0.0163,298.15,989.239,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0497,0.4516,298.15,851.333,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.05,0.6478,298.15,830.691,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0508,1,298.15,807.905,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0708,0.0163,298.15,989.972,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0708,0.0222,298.15,987.054,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0732,0.0052,298.15,995.876,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0735,1,298.15,809.466,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0737,0.6478,298.15,832.135,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0752,0.0106,298.15,992.969,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
