setid,"Temperature, K","MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IHUIZ,288.15,0.0168,100,1040.13,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0228,100,1040.25,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0299,100,1040.4,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0382,100,1040.57,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0504,100,1040.81,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0616,100,1041.04,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0808,100,1041.41,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.0985,100,1041.74,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.1152,100,1042.05,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.135,100,1042.42,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,288.15,0.1532,100,1042.73,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0168,100,1036.52,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0228,100,1036.65,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
