setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HLwxh,0.4865,293.15,101,1108.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.4865,298.15,101,1105,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.4865,303.15,101,1101.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.4865,308.15,101,1097.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.4865,313.15,101,1093.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.4865,318.15,101,1089.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,293.15,101,1132.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,298.15,101,1129.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,303.15,101,1125.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,308.15,101,1121.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,313.15,101,1117.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.573,318.15,101,1114.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,293.15,101,1155.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,298.15,101,1151.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,303.15,101,1148,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,308.15,101,1144.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,313.15,101,1140.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.6738,318.15,101,1137.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,293.15,101,1170.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,298.15,101,1167.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,303.15,101,1163.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,308.15,101,1159.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,313.15,101,1156.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.7531,318.15,101,1152.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,293.15,101,1191.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,298.15,101,1188.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,303.15,101,1184.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,308.15,101,1181,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,313.15,101,1177.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.8821,318.15,101,1173.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
