setid,"Temperature, K",Mole fraction of 1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mEyeT,288.15,0,100,787.527,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.1,100,1054.3,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.2,100,1191.3,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.3,100,1272.02,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.4001,100,1325.95,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.5,100,1365.08,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.6,100,1393.81,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.7,100,1417.6,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.7999,100,1435.4,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,0.8999,100,1450.2,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,288.15,1,100,1463,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0,100,782.169,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.1,100,1049,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.2,100,1186.1,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.3,100,1266.9,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.4001,100,1320.93,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.5,100,1360.12,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.6,100,1388.91,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.7,100,1412.8,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.7999,100,1430.6,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mEyeT,293.15,0.8999,100,1445.4,Fang et al. (2022),Density,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
