setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FoKPz,100,283.15,0,792.8,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.0999,936.4,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.2001,1003.8,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.3001,1041.8,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.3998,1065.1,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.5002,1081.5,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.6,1093,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.7001,1101.5,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.7996,1108.1,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
FoKPz,100,283.15,0.8998,1113.9,Yang and Fang (2018),Density,Liquid,ABLwsx,C[N+](C)(C)CCC[N+]1(C)CCCCC1.N#C[N-]C#N.N#C[N-]C#N,1-methyl-1-(3-(trimethylammonio)propyl)piperidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
