setid,"Temperature, K",Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UrWFn,283.15,0.11,101,1149.8,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.254,101,1129.7,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.352,101,1112.3,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.447,101,1091.6,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.556,101,1062.2,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.663,101,1025.7,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.748,101,989.1,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,283.15,0.852,101,930.1,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.11,101,1146.6,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.254,101,1126.4,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.352,101,1108.9,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.447,101,1088.1,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.556,101,1058.7,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.663,101,1022.1,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.748,101,985.6,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
UrWFn,288.15,0.852,101,926.3,Mokhtarani et al. (2009b),Density,Liquid,AAIsrh,CCO,ethanol,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,,,
