setid,Mole fraction of diethylammonium hydrogen sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KrnKW,0,101,298.15,997,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.0259,101,298.15,1048.2,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.0378,101,298.15,1066.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.0576,101,298.15,1093.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.0767,101,298.15,1115.2,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.0921,101,298.15,1130,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.1327,101,298.15,1161.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.1949,101,298.15,1194.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.2159,101,298.15,1203.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.2686,101,298.15,1220.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.3021,101,298.15,1228.8,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.3422,101,298.15,1237.1,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.3912,101,298.15,1245.5,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.4524,101,298.15,1253.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.4891,101,298.15,1257.6,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.5793,101,298.15,1265.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.6356,101,298.15,1268.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.7021,101,298.15,1272.3,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.7817,101,298.15,1275.9,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,0.8788,101,298.15,1279.7,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
KrnKW,1,101,298.15,1284,Umapathi et al. (2014),Density,Liquid,AADYJk,O,water,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,
