setid,"MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oUTHl,0.00982,101,298,0.229,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.01224,101,298,0.258,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.02015,101,298,0.379,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.0281,101,298,0.497,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.02882,101,298,0.512,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.03109,101,298,0.507,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.04795,101,298,0.746,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.05897,101,298,0.908,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.06164,101,298,0.933,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.06334,101,298,0.964,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.06667,101,298,1.051,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.07657,101,298,1.157,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.08226,101,298,1.228,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.08724,101,298,1.262,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.09135,101,298,1.339,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1036,101,298,1.506,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1044,101,298,1.504,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1076,101,298,1.579,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1087,101,298,1.557,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.121,101,298,1.735,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1272,101,298,1.822,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1433,101,298,2.011,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1435,101,298,2.021,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1448,101,298,2.025,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
oUTHl,0.1597,101,298,2.225,De Lisi et al. (1990c),Density,Liquid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water,,,
