setid,"Temperature, K","MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","MolaLity of L-phenylalanine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ddkjz,288.15,0.01,0,101.3,999.6,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.01022,101.3,1000.06,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.02007,101.3,1000.5,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.02982,101.3,1000.94,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.03988,101.3,1001.39,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.04858,101.3,1001.79,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.05954,101.3,1002.28,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.06925,101.3,1002.72,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.07875,101.3,1003.14,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
ddkjz,288.15,0.01,0.08924,101.3,1003.62,Kumar and Sharma (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AAfnoT,N[C@@H](Cc1ccccc1)C(=O)O,L-phenylalanine,AADYJk,O,water
