setid,Solvent: Weight fraction of triethylammonium hydrogen sulfate,"Mass ratio to solvent: 2,5-diketopiperazine","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zHMya,0.121,0.007,298.15,101,997.92,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.121,0.0076,298.15,101,998.56,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.121,0.0083,298.15,101,999.21,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.121,0.009,298.15,101,999.92,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.121,0.0095,298.15,101,1000.43,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.121,0.01,298.15,101,1000.7,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0034,298.15,101,1012.77,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0043,298.15,101,1015.44,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0051,298.15,101,1017.39,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0057,298.15,101,1019.14,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0063,298.15,101,1020.75,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.186,0.0067,298.15,101,1021.43,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0013,298.15,101,1095.67,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0022,298.15,101,1105.97,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0031,298.15,101,1113.89,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0035,298.15,101,1119,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0038,298.15,101,1121.9,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
zHMya,0.246,0.0041,298.15,101,1123.46,Vasantha et al. (2013),Density,Liquid,AAVxel,O=C1CNC(=O)CN1,"2,5-diketopiperazine",AADYJk,O,water,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate
