setid,"Temperature, K",Mole fraction of methanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BfHAU,278.15,0,101,1313.9,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.0851,101,1306,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.1553,101,1298.5,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.3213,101,1276.07,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.519,101,1235.1,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.6999,101,1169.28,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.8218,101,1090.06,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.8447,101,1069.25,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.8739,101,1038.46,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.9334,101,955.97,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.9729,101,878.11,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.9873,101,842.25,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.9931,101,826.27,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,0.9966,101,816,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,278.15,1,101,805.52,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0,101,1309.8,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.0851,101,1301.9,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.1553,101,1294.4,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.3213,101,1271.93,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.519,101,1230.88,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.6999,101,1164.92,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.8218,101,1085.57,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.8447,101,1064.67,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
BfHAU,283.15,0.8739,101,1033.95,Safarov and Guluzade (2022),Density,Liquid,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
