setid,"Temperature, K","MolaLity of 1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pOyTq,293.15,0,101,998.203,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,293.15,0.04944,101,1004.66,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,293.15,0.06711,101,1006.89,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,293.15,0.07912,101,1008.4,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,293.15,0.0927,101,1010.06,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,293.15,0.10214,101,1011.22,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0,101,997.043,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0.04944,101,1003.45,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0.06711,101,1005.68,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0.07912,101,1007.18,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0.0927,101,1008.82,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,298.15,0.10214,101,1009.97,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0,101,995.645,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0.04944,101,1002.01,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0.06711,101,1004.22,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0.07912,101,1005.71,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0.0927,101,1007.35,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,303.15,0.10214,101,1008.49,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0,101,994.029,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0.04944,101,1000.35,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0.06711,101,1002.54,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0.07912,101,1004.03,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0.0927,101,1005.67,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,308.15,0.10214,101,1006.8,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0,101,992.212,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0.04944,101,998.497,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0.06711,101,1000.68,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0.07912,101,1002.15,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0.0927,101,1003.79,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
pOyTq,313.15,0.10214,101,1004.91,Kawadkar and Zodape (2019),Density,Liquid,ABVFhr,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(3-methyl-1H-imidazol-3-ium) dibromide",AADYJk,O,water,,,
