setid,"MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eqLZp,0,288.15,101,999.099,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0,293.15,101,998.203,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0,298.15,101,997.043,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0,303.15,101,995.645,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0,308.15,101,994.029,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.023,288.15,101,1000.17,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.023,293.15,101,999.245,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.023,298.15,101,998.059,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.023,303.15,101,996.639,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.023,308.15,101,995.004,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.0306,288.15,101,1000.52,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
eqLZp,0.0306,293.15,101,999.594,Sadeghi et al. (2009b),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
