setid,Mole fraction of 1-butyl-2-methylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XBksN,0.0465,101,298.15,2327.9,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.1005,101,298.15,2177,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.156,101,298.15,2046.2,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.2055,101,298.15,1945.2,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.2685,101,298.15,1833.8,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.3984,101,298.15,1650.4,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.4649,101,298.15,1574.7,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.5258,101,298.15,1513.3,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.624,101,298.15,1428,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.7278,101,298.15,1352.01,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.7807,101,298.15,1317.92,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.8386,101,298.15,1283.5,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
XBksN,0.9112,101,298.15,1244.14,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
