setid,"Temperature, K","MolaLity of dodecyl(2-hydroxyethyl)dimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TZKPl,298.15,0.01498,100,997.566,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.01595,100,997.591,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.01793,100,997.647,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.01991,100,997.7,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.02489,100,997.835,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.02994,100,997.963,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.03493,100,998.101,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.0399,100,998.235,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.04493,100,998.372,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.04982,100,998.5,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,298.15,0.05488,100,998.637,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.00798,100,995.92,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.009,100,995.954,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
