setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpyrrolidinium dimethylphosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nqeii,293.15,0,100,789,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.0534,100,859,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.1054,100,911,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.1535,100,949,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.2015,100,981,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.306,100,1035,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.4029,100,1071,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.5052,100,1100,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.6022,100,1122,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.6938,100,1139,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.8049,100,1157,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,0.9073,100,1170,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,293.15,1,100,1181,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0,100,785,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.0534,100,856,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.1054,100,907,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.1535,100,945,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.2015,100,977,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.306,100,1031,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
nqeii,298.15,0.4029,100,1067,Krolikowska et al. (2021b),Density,Liquid,AAuAMw,CC[N+]1(C)CCCC1.COP(=O)([O-])OC,1-ethyl-1-methylpyrrolidinium dimethylphosphate,AAIsrh,CCO,ethanol,,,
