setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of D-ribose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rMuZA,288.15,0,86,0.5,1025.85,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.01527,86,0.5,1026.39,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.01972,86,0.5,1026.54,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.02522,86,0.5,1026.73,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.02987,86,0.5,1026.89,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.03417,86,0.5,1027.04,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.03768,86,0.5,1027.16,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.04179,86,0.5,1027.3,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.0467,86,0.5,1027.45,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rMuZA,288.15,0.0519,86,0.5,1027.61,Zamani et al. (2018),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
