setid,"Mole fraction of 1,3-dimethylimidazolium acetate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TrHac,0,293.15,101.3,998.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.0319,293.15,101.3,1029.2,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.0421,293.15,101.3,1036.5,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.0517,293.15,101.3,1043.1,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.0612,293.15,101.3,1049.1,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.0957,293.15,101.3,1065.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.1103,293.15,101.3,1071.4,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.1349,293.15,101.3,1079.5,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.2516,293.15,101.3,1103.4,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.2971,293.15,101.3,1108.8,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.4327,293.15,101.3,1118.7,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.5014,293.15,101.3,1121.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.7233,293.15,101.3,1126.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.8905,293.15,101.3,1128.2,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,0.9201,293.15,101.3,1128.5,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
TrHac,1,293.15,101.3,1128.9,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAeBvd,CC(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium acetate",,,
