setid,"MolaLity of L-valine, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaRity of dodecyltrimethylammonium bromide, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FBips,0,101,298.15,0.1,998.571,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.009572,101,298.15,0.1,998.83,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.013865,101,298.15,0.1,998.947,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.018555,101,298.15,0.1,999.066,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.024757,101,298.15,0.1,999.23,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.028584,101,298.15,0.1,999.334,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.035193,101,298.15,0.1,999.514,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.037906,101,298.15,0.1,999.578,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.038863,101,298.15,0.1,999.599,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
FBips,0.046364,101,298.15,0.1,999.788,Talele and Kishore (2014),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
