setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NaZRm,288.15,0.04116,100,3.003,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.05229,100,3.817,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.05596,100,4.086,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1029,100,7.469,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.106,100,7.683,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1131,100,8.19,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1342,100,9.694,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1353,100,9.789,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1404,100,10.143,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,288.15,0.1541,100,11.111,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.04116,100,2.976,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.05229,100,3.779,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.05596,100,4.044,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.1029,100,7.389,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.106,100,7.597,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.1131,100,8.102,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.1342,100,9.585,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.1353,100,9.681,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
NaZRm,293.15,0.1404,100,10.03,Vatascin and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
