setid,"MolaRity of tetrabutylphosphonium tetrafluoroborate, mol/dm3","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Lwwok,0.0053,298.15,101,944.98,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
Lwwok,0.0213,298.15,101,946.61,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
Lwwok,0.0374,298.15,101,948.4,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
Lwwok,0.0536,298.15,101,950.34,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
Lwwok,0.0699,298.15,101,952.4,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
Lwwok,0.0863,298.15,101,954.5,Roy et al. (2013a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,,,
