setid,"Temperature, K","Weight fraction of ammonium 2-hydroxypropane-1,2,3-tricarboxylate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ByykW,298.15,0.005988,101,1122.9,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.008966,101,1108.5,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.015404,101,1089.6,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.022176,101,1075.2,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.028729,101,1071.4,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.03576,101,1065.4,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.047002,101,1060.8,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,298.15,0.063923,101,1058.6,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.006068,101,1125.4,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.012927,101,1098.5,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.022009,101,1081.2,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.035738,101,1068.4,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.047079,101,1063.4,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,308.15,0.056711,101,1060.8,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.012002,101,1104.6,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.019535,101,1089.8,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.032881,101,1074.8,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.051588,101,1066.9,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.066759,101,1063.8,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
ByykW,323.15,0.097469,101,1062.6,Han et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,20,AAuowU,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH4+].[NH4+].[NH4+],"ammonium 2-hydroxypropane-1,2,3-tricarboxylate",AADYJk,O,water
