setid,Mole fraction of 1-allyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MTiRs,0.000171,298.15,101,1005,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.000362,298.15,101,1007.5,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.000553,298.15,101,1001,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.000754,298.15,101,1004.5,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.001151,298.15,101,1004,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.001575,298.15,101,1004.7,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.002478,298.15,101,1003,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.003359,298.15,101,1004.2,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.004859,298.15,101,1005,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.006386,298.15,101,1006,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.008102,298.15,101,1007.6,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.009949,298.15,101,1008.5,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.011785,298.15,101,1011.6,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.01373,298.15,101,1016.5,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.017654,298.15,101,1017.2,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.021561,298.15,101,1021.8,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.025652,298.15,101,1024,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
MTiRs,0.02973,298.15,101,1026,Wu et al. (2010),Density,Liquid,AADYJk,O,water,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,
