setid,Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ByzTW,0.008411,298.15,101,791.26,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.01528,298.15,101,802.59,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.02253,298.15,101,813.87,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.04942,298.15,101,854.17,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.1007,298.15,101,916.26,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.1433,298.15,101,960.07,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.2043,298.15,101,1012.5,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.2778,298.15,101,1063.36,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.384,298.15,101,1120.1,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.4888,298.15,101,1163,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.6478,298.15,101,1211.7,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.759,298.15,101,1238,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,0.8902,298.15,101,1263,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
ByzTW,1,298.15,101,1280.4,Stoppa et al. (2009),Density,Liquid,AAHueB,CC#N,acetonitrile,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
