setid,"Solvent: MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of N-(carboxymethyl)glycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dmDcm,0.1,288.15,0.0509,101,1001,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,288.15,0.0993,101,1003.8,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,288.15,0.1502,101,1006.5,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,288.15,0.2,101,1009.3,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,288.15,0.2551,101,1012,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,288.15,0.2978,101,1014.9,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,298.15,0.0509,101,998.8,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,298.15,0.0993,101,1001.6,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,298.15,0.1502,101,1004.2,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
dmDcm,0.1,298.15,0.2,101,1007,Gaba et al. (2017a),Density,Liquid,AAZfHj,O=C(O)CNCC(=O)O,N-(carboxymethyl)glycine,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
