setid,"MolaLity of dibutyldiethylammonium bromdie, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cHTSa,0.01541,101,298.15,0.649,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.02082,101,298.15,0.873,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.02485,101,298.15,1.0399,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.0299,101,298.15,1.2512,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.03343,101,298.15,1.398,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.03554,101,298.15,1.4849,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.03606,101,298.15,1.5047,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
cHTSa,0.04098,101,298.15,1.7054,Blanco and Vargas (2006),Density,Liquid,AADYJk,O,water,AAzKpN,CCCC[N+](CC)(CC)CCCC.[Br-],dibutyldiethylammonium bromdie,,,
