setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium carbonate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YvNVr,288.15,0,84.5,0.035,1003.04,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00201,84.5,0.035,1003.12,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00301,84.5,0.035,1003.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00306,84.5,0.035,1003.16,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00393,84.5,0.035,1003.19,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00454,84.5,0.035,1003.21,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00514,84.5,0.035,1003.24,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.00757,84.5,0.035,1003.32,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.01211,84.5,0.035,1003.45,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.01869,84.5,0.035,1003.64,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.0243,84.5,0.035,1003.77,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.03106,84.5,0.035,1003.96,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.04716,84.5,0.035,1004.41,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.06162,84.5,0.035,1004.81,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.07499,84.5,0.035,1005.18,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.09157,84.5,0.035,1005.64,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,288.15,0.11563,84.5,0.035,1006.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0,84.5,0.035,1002.09,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00201,84.5,0.035,1002.16,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
