setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LiuOn,293.15,0,101,791.243,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.028,101,846.441,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.0577,101,893.625,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.0967,101,944.389,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.1459,101,995.788,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.1952,101,1036.49,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.3213,101,1110.62,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.4002,101,1143.05,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.4965,101,1173.27,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.5988,101,1198.33,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.6904,101,1216.19,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.8011,101,1233.62,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.8824,101,1244.2,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,0.94,101,1250.7,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,293.15,1,101,1256.7,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0,101,781.813,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.028,101,837.96,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.0577,101,885.479,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.0967,101,936.347,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.1459,101,987.6,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.1952,101,1028.35,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.3213,101,1102.55,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.4002,101,1135.04,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.4965,101,1165.53,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.5988,101,1190.7,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.6904,101,1208.71,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.8011,101,1226.21,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.8824,101,1237,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,0.94,101,1243.5,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,303.15,1,101,1249.5,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0,101,772.287,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.028,101,829.037,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.0577,101,876.892,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.0967,101,927.831,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.1459,101,979.474,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.1952,101,1020.19,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.3213,101,1094.6,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.4002,101,1127.34,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.4965,101,1157.84,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.5988,101,1183.22,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
