setid,"Temperature, K","Pressure, kPa",Mole fraction of anisole,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
laijh,298.15,100,0.1018,1422.8,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.2008,1405.2,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.3001,1384.5,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.4008,1359.4,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.5008,1329.2,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.6001,1292.3,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.7003,1245.4,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.8002,1184.5,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,100,0.9,1103.7,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.1018,1429.6,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.2008,1411.8,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.3001,1390.9,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.4008,1365.7,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.5008,1335.3,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.6001,1298.2,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.7003,1251.2,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.8002,1190.3,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,10000,0.9,1109.6,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.1018,1432.8,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.2008,1415,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.3001,1394,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.4008,1368.7,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.5008,1338.2,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.6001,1301.1,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.7003,1254,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.8002,1193.1,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,15000,0.9,1112.4,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.1018,1436,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.2008,1418.1,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.3001,1397,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.4008,1371.6,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.5008,1341.1,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.6001,1303.9,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
laijh,298.15,20000,0.7003,1256.7,Widowati and Lee (2013),Density,Liquid,AAUpuK,COc1ccccc1,anisole,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
