setid,Solvent: Mole fraction of acetonitrile,"MolaLity of tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oXosW,0.5,0.02108,101,298.15,896.78,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.5,0.03983,101,298.15,901.07,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.5,0.05734,101,298.15,905.6,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.5,0.07826,101,298.15,911.53,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.5,0.10109,101,298.15,919.1,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.6,0.02595,101,298.15,885.71,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.6,0.04012,101,298.15,889.21,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.6,0.05734,101,298.15,893.78,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.6,0.07857,101,298.15,899.74,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.6,0.10237,101,298.15,906.96,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
