setid,"MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rjxvB,0,101,298.15,786.7,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.0322,101,298.15,789.34,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.0501,101,298.15,790.79,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.1019,101,298.15,794.9,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.1409,101,298.15,797.93,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.1593,101,298.15,799.34,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.2025,101,298.15,802.59,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.2367,101,298.15,805.15,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.3284,101,298.15,811.79,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.3867,101,298.15,815.91,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.4957,101,298.15,823.33,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.6054,101,298.15,830.55,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
rjxvB,0.6994,101,298.15,836.5,Wang et al. (2015),Density,Liquid,AAGIBL,CO,methanol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
