setid,Mole fraction of ethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ycgjf,0,298.15,101,1028.25,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.049,298.15,101,1040.83,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.138,298.15,101,1059.94,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.166,298.15,101,1065.8,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.223,298.15,101,1076.59,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.242,298.15,101,1080.27,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.292,298.15,101,1089.23,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.347,298.15,101,1098.75,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.413,298.15,101,1109.61,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.457,298.15,101,1116.43,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.48,298.15,101,1119.62,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.54,298.15,101,1129.36,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.592,298.15,101,1138,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.63,298.15,101,1143.7,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.684,298.15,101,1153.2,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.763,298.15,101,1167.7,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.83,298.15,101,1179.6,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.915,298.15,101,1195.5,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,0.981,298.15,101,1207.7,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
Ycgjf,1,298.15,101,1210.8,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
