setid,"MolaLity of 1-methyl-3-octylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RUihj,0,101,298.15,799.56,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.0201,101,298.15,801.13,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.0499,101,298.15,803.41,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.0998,101,298.15,807.13,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.1403,101,298.15,810.07,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.1597,101,298.15,811.47,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.2016,101,298.15,814.41,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.234,101,298.15,816.66,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.3199,101,298.15,822.55,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.3979,101,298.15,827.72,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.4912,101,298.15,833.64,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.5966,101,298.15,840.04,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
RUihj,0.6974,101,298.15,846.11,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,
