setid,"Temperature, K",Mole fraction of N-butyl-N-methylpiperidinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JJGud,298.15,0,100,997.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.03,100,1057.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.06,100,1097.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.089,100,1126.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.124,100,1150.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.159,100,1167.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.195,100,1180.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,298.15,0.244,100,1193.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0,100,995.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.03,100,1054.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
