setid,"MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Solvent: MolaLity of N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lqNlT,0,0,101,298.15,943.88,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0,0.0401,101,298.15,945.31,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0,0.0728,101,298.15,946.33,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0,0.1205,101,298.15,947.34,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0,0.1553,101,298.15,949.12,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0.0201,0,101,298.15,945.2,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0.0231,0.1553,101,298.15,950.7,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0.0233,0.0401,101,298.15,946.86,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0.0237,0.1205,101,298.15,948.95,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
lqNlT,0.0244,0.0728,101,298.15,947.97,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAtqtv,C(=NCCN=Cc1ccccn1)c1ccccn1,"N,N'-bis(2-pyridinylmethylene)-1,2-ethanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
