setid,Solvent: Weight fraction of diethylammonium hydrogen sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oaeYx,0.113,298.15,101,1124.82,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
oaeYx,0.178,298.15,101,1205.35,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
oaeYx,0.239,298.15,101,1268.85,Vasantha et al. (2013),Density,Liquid,Crystal of pure component 1,,3,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
